epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,15757.8,1.19479,0.43427,0.00211,0.97845,0.95369,0.9849,0.74167,1.03845,0.37565,0.00216,0.000665057,0.000665057,0.000665057
56,16002.3,1.28343,0.45005,0.00224,0.96519,0.9508,0.98472,0.71513,1.17484,0.39302,0.00253,0.000650909,0.000650909,0.000650909
57,16252.5,1.32361,0.4546,0.00231,0.96054,0.96893,0.98566,0.72971,1.22426,0.40373,0.00263,0.000636762,0.000636762,0.000636762
58,16496.4,1.23987,0.43945,0.00232,0.96217,0.96073,0.98516,0.79061,1.02618,0.37327,0.00214,0.000622615,0.000622615,0.000622615
59,16733.2,1.17396,0.44037,0.00211,0.95887,0.95736,0.98447,0.79123,0.99662,0.36623,0.00201,0.000608468,0.000608468,0.000608468
60,16982.3,1.19075,0.42812,0.00218,0.94788,0.96717,0.98472,0.77916,1.00617,0.36273,0.00205,0.000594321,0.000594321,0.000594321
61,17231,1.12791,0.39917,0.00208,0.97082,0.95855,0.98573,0.76707,0.9585,0.34428,0.00198,0.000580174,0.000580174,0.000580174
62,17484.9,1.1669,0.40921,0.00207,0.97491,0.97488,0.98615,0.77441,1.02193,0.35595,0.00208,0.000566027,0.000566027,0.000566027
63,17733.9,1.14608,0.39908,0.0022,0.97821,0.96826,0.9861,0.7886,1.00009,0.34866,0.00203,0.00055188,0.00055188,0.00055188
64,17977.1,1.14567,0.40494,0.00203,0.97232,0.97449,0.98699,0.79374,0.95726,0.33935,0.00195,0.000537733,0.000537733,0.000537733
65,18225.4,1.0917,0.37919,0.00191,0.98158,0.97079,0.98706,0.78622,1.00535,0.35119,0.00203,0.000523586,0.000523586,0.000523586
66,18478.9,1.13647,0.41326,0.00214,0.9798,0.97473,0.98658,0.77843,1.07645,0.36162,0.00214,0.000509438,0.000509438,0.000509438
67,18736.1,1.12235,0.41247,0.00216,0.97846,0.97829,0.98723,0.79286,1.01756,0.35164,0.00204,0.000495291,0.000495291,0.000495291
68,18983.2,1.11148,0.39507,0.00197,0.97892,0.97914,0.9881,0.80266,0.94403,0.33674,0.00195,0.000481144,0.000481144,0.000481144
69,19231.7,1.06025,0.39332,0.00209,0.98439,0.98024,0.98893,0.80303,0.95429,0.33358,0.00196,0.000466997,0.000466997,0.000466997
70,19471.6,1.07704,0.38406,0.00196,0.97764,0.97537,0.9885,0.82503,0.8894,0.31863,0.0018,0.00045285,0.00045285,0.00045285
71,19719.9,1.04704,0.38953,0.00191,0.97577,0.9718,0.98753,0.80475,0.96288,0.33479,0.00194,0.000438703,0.000438703,0.000438703
72,19965.8,1.09585,0.38993,0.00192,0.97687,0.9731,0.98781,0.79425,1.00032,0.34213,0.00202,0.000424556,0.000424556,0.000424556
73,20216.5,1.06036,0.3955,0.00183,0.9846,0.96631,0.98847,0.8182,0.91142,0.32323,0.00184,0.000410409,0.000410409,0.000410409
74,20460.1,1.03581,0.36734,0.00183,0.97773,0.97357,0.98869,0.83206,0.87762,0.31211,0.00177,0.000396262,0.000396262,0.000396262
75,20707.4,1.03337,0.36731,0.00185,0.98352,0.97375,0.98891,0.83492,0.86364,0.31043,0.00174,0.000382115,0.000382115,0.000382115
76,20947.8,1.0176,0.38253,0.00196,0.97875,0.97296,0.98845,0.81549,0.9128,0.32503,0.00183,0.000367967,0.000367967,0.000367967
77,21196,0.99792,0.37254,0.00181,0.98135,0.9747,0.98861,0.80856,0.96006,0.33457,0.00191,0.00035382,0.00035382,0.00035382
78,22258.4,1.00692,0.3731,0.00175,0.98223,0.97006,0.98867,0.81487,0.91495,0.32264,0.00183,0.000339673,0.000339673,0.000339673
