epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,26135.1,0.63901,0.35653,0.82446,0.99413,0.99,0.99445,0.90524,0.53341,0.31666,0.79197,0.000268938,0.000268938,0.000268938
84,26450,0.6118,0.34677,0.82292,0.99366,0.99082,0.99445,0.89825,0.57057,0.32212,0.79449,0.000254791,0.000254791,0.000254791
85,26767.6,0.62505,0.34525,0.82037,0.99308,0.99202,0.99444,0.90033,0.57891,0.32221,0.7945,0.000240644,0.000240644,0.000240644
86,27071.8,0.64036,0.35302,0.81652,0.99349,0.9917,0.9945,0.90946,0.54828,0.31426,0.79158,0.000226497,0.000226497,0.000226497
87,27392.6,0.61642,0.34069,0.8189,0.99366,0.99045,0.99453,0.90504,0.57697,0.31792,0.79388,0.000212349,0.000212349,0.000212349
88,27704.2,0.6173,0.34247,0.81429,0.99489,0.9903,0.99465,0.90895,0.57325,0.31682,0.79368,0.000198202,0.000198202,0.000198202
89,28019.2,0.58255,0.32746,0.81089,0.99485,0.99012,0.99467,0.91493,0.52834,0.30845,0.78928,0.000184055,0.000184055,0.000184055
90,28333.7,0.6209,0.34407,0.81825,0.99479,0.99025,0.99468,0.91431,0.51636,0.30456,0.78827,0.000169908,0.000169908,0.000169908
91,28637.4,0.57836,0.33241,0.80316,0.9955,0.99025,0.9947,0.9054,0.52557,0.30323,0.78832,0.000155761,0.000155761,0.000155761
92,28946.6,0.57671,0.32641,0.80984,0.99549,0.99025,0.99465,0.90896,0.52924,0.30348,0.78793,0.000141614,0.000141614,0.000141614
93,29250,0.61093,0.33716,0.811,0.99505,0.99095,0.99465,0.9179,0.50351,0.29855,0.78598,0.000127467,0.000127467,0.000127467
94,29551.6,0.59696,0.33066,0.80978,0.99436,0.99166,0.99468,0.91942,0.49839,0.29836,0.78559,0.00011332,0.00011332,0.00011332
95,29857.8,0.54862,0.31544,0.80785,0.9945,0.99146,0.99471,0.918,0.49988,0.29817,0.78582,9.91726e-05,9.91726e-05,9.91726e-05
96,30171.4,0.51925,0.30447,0.81128,0.99443,0.99185,0.99472,0.91803,0.4949,0.29725,0.78533,8.50255e-05,8.50255e-05,8.50255e-05
97,30472.8,0.56713,0.32119,0.80272,0.99508,0.99182,0.99477,0.91706,0.48519,0.29465,0.7838,7.08784e-05,7.08784e-05,7.08784e-05
98,30780.6,0.54241,0.30905,0.80441,0.99495,0.99223,0.99478,0.9196,0.47972,0.29192,0.78303,5.67313e-05,5.67313e-05,5.67313e-05
99,31087.5,0.52177,0.30108,0.81394,0.99482,0.99264,0.9948,0.92034,0.47682,0.29012,0.78246,4.25842e-05,4.25842e-05,4.25842e-05
100,31387.6,0.51075,0.29969,0.80127,0.99497,0.99249,0.99481,0.92164,0.47476,0.28861,0.7821,2.84371e-05,2.84371e-05,2.84371e-05
