epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,1183.24,1.43682,0.74596,0.92879,0.96264,0.95385,0.97147,0.64268,1.49234,0.71416,0.94928,0.000650909,0.000650909,0.000650909
57,1203.77,1.36865,0.72766,0.92861,0.97174,0.95409,0.97494,0.69992,1.2118,0.66399,0.91046,0.000636762,0.000636762,0.000636762
58,1224.14,1.3315,0.71065,0.93012,0.96721,0.95998,0.9726,0.69088,1.20953,0.66293,0.90712,0.000622615,0.000622615,0.000622615
59,1244.35,1.38733,0.72787,0.9353,0.97492,0.94872,0.97171,0.67624,1.22324,0.65997,0.90891,0.000608468,0.000608468,0.000608468
60,1264.62,1.3712,0.72159,0.94098,0.97358,0.952,0.97459,0.67043,1.1696,0.64576,0.90361,0.000594321,0.000594321,0.000594321
61,1284.74,1.26567,0.6882,0.91889,0.96588,0.95158,0.97388,0.62795,1.30591,0.6654,0.92184,0.000580174,0.000580174,0.000580174
62,1305.09,1.35972,0.72719,0.92602,0.95261,0.95158,0.97106,0.59311,1.54966,0.70888,0.95726,0.000566027,0.000566027,0.000566027
63,1325.04,1.38653,0.7088,0.94542,0.95537,0.95419,0.97064,0.61809,1.51877,0.70133,0.95277,0.00055188,0.00055188,0.00055188
64,1345.7,1.29043,0.6768,0.9197,0.96799,0.96104,0.97088,0.67938,1.23438,0.64498,0.91303,0.000537733,0.000537733,0.000537733
65,1366.32,1.27483,0.67283,0.90868,0.97051,0.96178,0.97283,0.69928,1.18765,0.62655,0.90626,0.000523586,0.000523586,0.000523586
66,1386.4,1.27786,0.6819,0.92521,0.97789,0.95798,0.97361,0.703,1.20158,0.62623,0.90739,0.000509438,0.000509438,0.000509438
67,1406.37,1.25731,0.67814,0.92505,0.97741,0.9589,0.97348,0.69263,1.13496,0.61191,0.89942,0.000495291,0.000495291,0.000495291
68,1426.71,1.28485,0.66932,0.90832,0.97554,0.95969,0.97429,0.69918,1.17284,0.61189,0.90478,0.000481144,0.000481144,0.000481144
69,1447.15,1.27963,0.67364,0.93239,0.96735,0.96547,0.97598,0.71589,1.23503,0.6266,0.91213,0.000466997,0.000466997,0.000466997
70,1467.89,1.26227,0.67074,0.92388,0.96523,0.96681,0.97531,0.68557,1.29317,0.64047,0.91926,0.00045285,0.00045285,0.00045285
71,1488.41,1.23865,0.66901,0.91169,0.96641,0.96415,0.97516,0.67133,1.26617,0.63575,0.9142,0.000438703,0.000438703,0.000438703
72,1509.85,1.28022,0.67561,0.91895,0.96971,0.96752,0.97465,0.70416,1.15236,0.61289,0.90032,0.000424556,0.000424556,0.000424556
73,1531.13,1.25753,0.66578,0.90697,0.96946,0.96663,0.97516,0.71909,1.12575,0.60936,0.89729,0.000410409,0.000410409,0.000410409
74,1553.22,1.20996,0.65188,0.89981,0.96627,0.96442,0.97513,0.70498,1.20155,0.62559,0.9053,0.000396262,0.000396262,0.000396262
75,1574.36,1.20926,0.65743,0.90882,0.96704,0.96193,0.97517,0.69802,1.32078,0.64271,0.92043,0.000382115,0.000382115,0.000382115
76,1594.87,1.20705,0.66492,0.91957,0.97525,0.95743,0.9759,0.71416,1.1928,0.61554,0.90476,0.000367967,0.000367967,0.000367967
77,1616.19,1.22849,0.65103,0.91234,0.97717,0.95587,0.97502,0.70203,1.09135,0.59243,0.89271,0.00035382,0.00035382,0.00035382
78,1637.37,1.25557,0.66488,0.91223,0.97867,0.9568,0.97495,0.69419,1.1048,0.59405,0.89469,0.000339673,0.000339673,0.000339673
79,1658.41,1.21881,0.64677,0.90103,0.97809,0.9564,0.97517,0.7078,1.07686,0.59115,0.89058,0.000325526,0.000325526,0.000325526
80,1679.29,1.22645,0.67309,0.91601,0.97919,0.95274,0.97522,0.71806,1.17825,0.6107,0.9001,0.000311379,0.000311379,0.000311379
81,1700.18,1.21831,0.65478,0.89564,0.97604,0.95397,0.97457,0.70322,1.2557,0.62717,0.90915,0.000297232,0.000297232,0.000297232
82,1720.89,1.26167,0.67266,0.91757,0.97401,0.95352,0.9741,0.69967,1.19775,0.61967,0.90219,0.000283085,0.000283085,0.000283085
83,1741.37,1.23636,0.67633,0.92047,0.97658,0.95348,0.97433,0.72251,1.0969,0.59766,0.89102,0.000268938,0.000268938,0.000268938
84,1762.05,1.1748,0.65196,0.91916,0.97874,0.9555,0.97478,0.73457,1.06686,0.59005,0.88771,0.000254791,0.000254791,0.000254791
85,1782.82,1.19346,0.6391,0.90491,0.97856,0.95929,0.97576,0.73409,1.07266,0.5904,0.88715,0.000240644,0.000240644,0.000240644
86,1804.26,1.21238,0.65591,0.90313,0.96939,0.96505,0.97579,0.71442,1.12535,0.59646,0.892,0.000226497,0.000226497,0.000226497
87,1825.22,1.19835,0.65259,0.9087,0.96625,0.96675,0.97618,0.70425,1.18893,0.60572,0.89951,0.000212349,0.000212349,0.000212349
88,1845.75,1.19579,0.66249,0.90508,0.96534,0.96604,0.97589,0.70618,1.20281,0.60777,0.90221,0.000198202,0.000198202,0.000198202
89,1866.42,1.16312,0.63032,0.89772,0.96515,0.96513,0.97575,0.71598,1.17164,0.6007,0.89933,0.000184055,0.000184055,0.000184055
90,1886.82,1.1955,0.65405,0.91333,0.96932,0.96399,0.97633,0.73247,1.13146,0.5926,0.89432,0.000169908,0.000169908,0.000169908
91,1906.26,1.22389,0.69632,0.90877,0.972,0.96068,0.97643,0.73638,1.11772,0.59156,0.8923,0.000155761,0.000155761,0.000155761
92,1925.67,1.19065,0.68071,0.91977,0.97229,0.96409,0.97815,0.73187,1.12694,0.59408,0.89211,0.000141614,0.000141614,0.000141614
93,1945.14,1.29496,0.75546,0.91804,0.97129,0.9643,0.97681,0.72852,1.15673,0.59966,0.89484,0.000127467,0.000127467,0.000127467
94,1964.62,1.28825,0.73339,0.91867,0.9688,0.96552,0.97587,0.72243,1.19502,0.61019,0.89874,0.00011332,0.00011332,0.00011332
95,1984.13,1.15563,0.65142,0.9042,0.96947,0.96482,0.97554,0.71866,1.22826,0.61844,0.9027,9.91726e-05,9.91726e-05,9.91726e-05
96,2003.7,1.14311,0.64704,0.91566,0.97006,0.96462,0.97577,0.72505,1.21266,0.61647,0.90096,8.50255e-05,8.50255e-05,8.50255e-05
97,2023.39,1.23681,0.70626,0.90697,0.96924,0.9643,0.97522,0.73503,1.14962,0.6068,0.89375,7.08784e-05,7.08784e-05,7.08784e-05
98,2043.29,1.22296,0.67335,0.91164,0.96928,0.96371,0.97522,0.74005,1.12306,0.60295,0.891,5.67313e-05,5.67313e-05,5.67313e-05
99,2063,1.12755,0.64806,0.91159,0.9693,0.9632,0.97472,0.74158,1.11975,0.60349,0.89084,4.25842e-05,4.25842e-05,4.25842e-05
100,2082.8,1.11517,0.64337,0.90224,0.97054,0.96417,0.9751,0.74204,1.12846,0.60509,0.89176,2.84371e-05,2.84371e-05,2.84371e-05
