epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,3766.99,0.88525,0.46525,0.86133,0.98636,0.97339,0.98937,0.84799,0.74499,0.41689,0.822,0.000268938,0.000268938,0.000268938
84,3810.69,0.87833,0.45755,0.8681,0.98669,0.97339,0.98919,0.84276,0.80291,0.42543,0.82672,0.000254791,0.000254791,0.000254791
85,3855.55,0.85794,0.44893,0.85469,0.98585,0.97346,0.98932,0.8365,0.84695,0.43141,0.83093,0.000240644,0.000240644,0.000240644
86,3901.86,0.87785,0.45574,0.85296,0.98677,0.97458,0.99005,0.84493,0.79945,0.4204,0.82642,0.000226497,0.000226497,0.000226497
87,3947.16,0.85768,0.44839,0.85512,0.98607,0.97481,0.99062,0.85926,0.72935,0.40569,0.81981,0.000212349,0.000212349,0.000212349
88,3992.26,0.867,0.45253,0.85349,0.98442,0.97576,0.99082,0.85751,0.71899,0.40263,0.81847,0.000198202,0.000198202,0.000198202
89,4037.68,0.8242,0.43493,0.84669,0.98285,0.97632,0.99052,0.85899,0.71728,0.40284,0.8177,0.000184055,0.000184055,0.000184055
90,4082.82,0.85512,0.45374,0.8561,0.98191,0.97603,0.99027,0.86235,0.7373,0.40529,0.81896,0.000169908,0.000169908,0.000169908
91,4126.88,0.88997,0.47066,0.85336,0.98385,0.97402,0.98978,0.857,0.77419,0.41246,0.82175,0.000155761,0.000155761,0.000155761
92,4170.32,0.878,0.45465,0.86248,0.98493,0.97256,0.98986,0.85585,0.77752,0.41513,0.82172,0.000141614,0.000141614,0.000141614
93,4213.48,0.94825,0.47967,0.86641,0.98386,0.97278,0.98977,0.85912,0.75178,0.41147,0.81947,0.000127467,0.000127467,0.000127467
94,4257.74,0.9156,0.47051,0.86076,0.98569,0.97324,0.98974,0.85973,0.73711,0.40986,0.81814,0.00011332,0.00011332,0.00011332
95,4301.63,0.81427,0.43752,0.84921,0.98486,0.97426,0.98938,0.85828,0.74073,0.41175,0.81848,9.91726e-05,9.91726e-05,9.91726e-05
96,4345.69,0.79368,0.43911,0.8558,0.98441,0.97364,0.9891,0.86058,0.73664,0.41214,0.81815,8.50255e-05,8.50255e-05,8.50255e-05
97,4389.33,0.90284,0.46146,0.85246,0.98261,0.97461,0.98903,0.86157,0.72481,0.40937,0.81672,7.08784e-05,7.08784e-05,7.08784e-05
98,4433.29,0.86115,0.44551,0.85389,0.982,0.97605,0.98903,0.86103,0.72157,0.40711,0.81608,5.67313e-05,5.67313e-05,5.67313e-05
99,4477.18,0.78711,0.42602,0.85449,0.98177,0.97626,0.98907,0.86044,0.72289,0.40562,0.81601,4.25842e-05,4.25842e-05,4.25842e-05
100,4520.99,0.78143,0.42485,0.84297,0.98137,0.97647,0.98917,0.86064,0.72455,0.40437,0.81597,2.84371e-05,2.84371e-05,2.84371e-05
