sperm_id,segment,image,area,perimeter,circularity,aspect_ratio,solidity,classification
sperm_13,segment_0,frame_3.jpg,163.5,93.05106806755066,0.23729298310347613,0.782608695652174,0.6264367792090545,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_4.jpg,157.5,91.59008955955505,0.2359355884806771,0.7391304347826086,0.6325301179416462,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_5.jpg,169.5,96.1628201007843,0.23033778399402388,0.7916666666666666,0.615245006841216,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_6.jpg,184.5,98.2304618358612,0.24027791938650697,0.76,0.6362068943579072,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_7.jpg,203.5,80.69672894477844,0.3927013694382604,0.72,0.7115384590505648,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_8.jpg,202.5,80.461953997612,0.3930553765642906,0.7083333333333334,0.7258064490114464,Irregular / Fragmented sperm shape
sperm_13,segment_0,frame_9.jpg,123.0,61.637933135032654,0.40683549873988295,1.1333333333333333,0.7343283538249054,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_30.jpg,161.0,93.46742701530457,0.23158752688371992,0.6666666666666666,0.6313725465436371,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_31.jpg,173.5,94.28476548194885,0.24525975650682674,0.7083333333333334,0.6485981284164556,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_32.jpg,164.0,91.1955201625824,0.2478030813530222,0.7391304347826086,0.655999997376,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_33.jpg,170.0,94.42054295539856,0.23962150880055533,0.7083333333333334,0.6343283558420584,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_34.jpg,165.0,94.9895646572113,0.22979576129066237,0.7083333333333334,0.6203007495477415,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_35.jpg,173.5,93.30520105361938,0.2504365065817147,0.7083333333333334,0.6437847842531177,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_36.jpg,154.0,92.17303204536438,0.22778380168345494,0.6666666666666666,0.6197183073653187,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_37.jpg,152.5,88.6547167301178,0.2438237546408901,0.7727272727272727,0.6434599128967936,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_38.jpg,170.0,98.75453567504883,0.21905071879474566,0.7916666666666666,0.5964912259772238,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_39.jpg,169.5,95.13888168334961,0.23532251550397307,0.7391304347826086,0.6324626842072288,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_40.jpg,179.0,96.93709301948547,0.23937727087906674,0.75,0.6269702254747103,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_41.jpg,156.0,93.94998526573181,0.22209614973670785,0.6666666666666666,0.6227544885319182,Irregular / Fragmented sperm shape
sperm_13,segment_1,frame_42.jpg,180.0,97.121750831604,0.23980010187383916,0.72,0.6405693927381872,Irregular / Fragmented sperm shape
